person_id,age,education_num,hours_per_week,capital_gain,capital_loss,occupation,native_country,workclass,marital_status,relationship,class,split,case_review_note,post_adjudication_risk_code,kyc_name_mismatch_flag,kyc_address_mismatch_flag,id_document_expired_flag,manual_review_required_flag,watchlist_screening_hit_flag,email_bounce_last_30d_flag,device_risk_high_flag,duplicate_application_flag,income_proof_unreadable_flag,extract_country_code,dataset_schema_version,constant_one,db_row_surrogate_key,db_source_table,db_etl_batch_id,db_loaded_at_utc,dgp_regime,record_written_at
1,23,7,54,15000.0,1887.0,Other-service,Canada,Local-gov,Widowed,Other-relative,<=50K,train,address verification is complete and customer information is consistent.,-0.023,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000000,income_application_snapshot,batch_2026_02_19,2026-02-19 00:06:19,production_dgp,2026-02-07 19:14:36
2,62,1,63,7500.0,0.0,Sales,Canada,Local-gov,Widowed,Wife,<=50K,train,income statement were recieved and review status is approved.,0.026,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000001,income_application_snapshot,batch_2026_02_19,2026-02-19 00:35:29,production_dgp,2026-01-02 14:53:38
3,55,11,22,2500.0,0.0,Other-service,India,Private,Never-married,Not-in-family,>50K,train,application stauts are approved and verification is complete.,0.997,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000002,income_application_snapshot,batch_2026_02_19,2026-02-19 00:42:17,training_dgp,2026-01-16 06:03:43
4,43,7,28,0.0,1977.0,Exec-managerial,India,Federal-gov,Married-civ-spouse,Unmarried,<=50K,test,employment verification is complete and documents are valid.,-0.005,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000003,income_application_snapshot,batch_2026_02_19,2026-02-19 00:56:53,production_dgp,2026-01-17 04:52:56
5,42,12,17,2500.0,,Exec-managerial,Mexico,State-gov,Never-married,Not-in-family,>50K,train,income statement was received and review status is approved.,0.995,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000004,income_application_snapshot,batch_2026_02_19,2026-02-19 00:47:30,production_dgp,2026-01-11 19:43:51
6,66,10,41,500.0,2415.0,Adm-clerical,India,Local-gov,Divorced,Own-child,>50K,train,address verification is complete and customer information is consistent.,1.045,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000005,income_application_snapshot,batch_2026_02_19,2026-02-19 00:48:26,training_dgp,2026-01-13 02:06:56
7,22,12,42,15000.0,1977.0,Other-service,United-States,State-gov,Never-married,Own-child,>50K,train,employment verification is complete and documents are valid.,0.99,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000006,income_application_snapshot,batch_2026_02_19,2026-02-19 00:31:23,training_dgp,2026-01-30 20:27:05
8,57,7,16,0.0,0.0,Other-service,Mexico,Local-gov,Married-civ-spouse,Not-in-family,<=50K,test,identity check is complete because documents are clear.,0.041,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000007,income_application_snapshot,batch_2026_02_19,2026-02-19 00:36:10,production_dgp,2026-01-31 06:51:12
9,29,1,51,,1977.0,Exec-managerial,Philippines,Local-gov,Divorced,Own-child,<=50K,train,application status is approved and verification is complete.,0.017,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000008,income_application_snapshot,batch_2026_02_19,2026-02-19 00:49:07,production_dgp,2026-01-16 02:16:36
10,23,2,15,0.0,2415.0,Craft-repair,United-States,Private,Divorced,Own-child,<=50K,train,application status is approved and verification is complete.,-0.022,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000009,income_application_snapshot,batch_2026_02_19,2026-02-19 00:44:15,training_dgp,2026-02-02 20:59:38
11,48,7,58,,1887.0,Sales,Germany,Local-gov,Never-married,Other-relative,<=50K,train,income statement was received and review status is approved.,-0.019,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000010,income_application_snapshot,batch_2026_02_19,2026-02-19 00:33:29,training_dgp,2026-01-23 12:46:33
12,73,6,53,2500.0,1977.0,Other-service,U.S.A.,Federal-gov,Widowed,Unmarried,<=50K,train,employment verification is complete and documents are valid.,0.004,0,0,0,1,0,0,0,0,0,US,v1.0,1,10000011,income_application_snapshot,batch_2026_02_19,2026-02-19 00:57:58,training_dgp,2026-01-03 22:57:11
13,59,12,,0.0,1887.0,Exec-managerial,Germany,Private,Never-married,Not-in-family,>50K,train,application status is approved and verification is complete.,1.002,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000012,income_application_snapshot,batch_2026_02_19,2026-02-19 00:11:39,production_dgp,2026-02-04 05:34:03
14,61,7,21h,0.0,2415.0,Craft-repair,Mexico,Local-gov,Widowed,Wife,<=50K,train,identity check is complete because documents are clear.,-0.008,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000013,income_application_snapshot,batch_2026_02_19,2026-02-19 00:36:12,training_dgp,2026-01-05 21:25:57
15,58,13,62,0.0,,Exec-managerial,Germany,Federal-gov,Married-civ-spouse,Not-in-family,>50K,train,address verification is complete and customer information is consistent.,0.989,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000014,income_application_snapshot,batch_2026_02_19,2026-02-19 00:10:26,production_dgp,2026-01-12 01:46:12
16,62,3,45,7500.0,0.0,Other-service,India,Local-gov,Divorced,Wife,<=50K,train,application status is approved and verification is complete.,0.031,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000015,income_application_snapshot,batch_2026_02_19,2026-02-19 00:42:20,training_dgp,2026-02-02 01:36:02
17,47,6,62,0.0,0.0,robotics_annotator,Germany,Private,Widowed,Husband,<=50K,test,address verification is complete and customer information is consistent.,0.003,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000016,income_application_snapshot,batch_2026_02_19,2026-02-19 00:02:17,training_dgp,2026-02-01 10:45:33
18,25,12,53,0.0,0.0,Other-service,Germany,Federal-gov,Never-married,Wife,>50K,train,income statement was received and review status is approved.,1.009,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000017,income_application_snapshot,batch_2026_02_19,2026-02-19 00:00:20,training_dgp,2026-01-28 04:56:14
