property_id,gr_liv_area,lot_area,year_built,overall_qual,garage_area,total_bsmt_sf,ms_zoning,neighborhood,sale_price,gr_liv_area_m2,total_enclosed_area_sqft,total_enclosed_area_m2,inspection_note,has_premium_finish,premium_finish_note,property_taxonomy_flat,lot_area_reported,reported_max_loan,record_extract_month
1,1268.0,7798.0,1975,5,583.0,1213.0,RL,NridgHt,236135.0,117.8011,3064.0,284.6549,sale condition was reviewed and valuation status is approved.,0,,RL>NridgHt,7798.0,212522.0,2024-01
2,1400.0,9614.0,1997,2,503.0,624.0,RL,NridgHt,199268.0,130.0643,2527.0,234.766,lot area verification is complete because documents are available.,0,,RL>NridgHt,9614.0,179341.0,2024-01
3,1018.0,18965.0,1922,8,346.0,1236.0,RM,Somerst,196002.0,94.5753,2600.0,241.5479,lot area verification is complete because documents are available.,1,verified,RM>Somerst,18965.0,176402.0,2024-01
4,1029.0,12578.0,1959,5,439.0,1355.0,RL,Edwards,204045.0,95.5972,2823.0,262.2653,zoning verification is complete and neighborhood information is confirmed.,0,,RL>Edwards,12578.0,183640.0,2024-01
5,1978.0,12111.0,1898,6,408.0,526.0,RL,Edwards,257386.0,183.7622,2912.0,270.5337,property inspection is complete and garage area is measured.,0,,RL>Edwards,12111.0,231647.0,2024-01
6,1625.0,7798.0,1926,2,350.0,1466.0,RL,Edwards,225543.0,150.9674,3441.0,319.6794,sale condition was reviewed and valuation status is approved.,0,,RL>Edwards,7798.0,202989.0,2024-01
7,1513.0,,1985,3,165.0,1116.0,RL,OldTown,210886.0,140.5623,2794.0,259.5711,lot area verification is complete because documents are available.,0,,RL>OldTown,14651.0,189797.0,2024-01
8,1352.0,9561.0,1951,9,522.0,785.0,FV,NAmes,253811.0,125.6049,2659.0,247.0292,property inspection is complete and garage area is measured.,1,verified,FV>NAmes,888.25,228430.0,2024-01
9,1802.0,15109.0,1911,7,724.0,959.0,RL,NridgHt,,167.4113,3485.0,323.7671,property inspection is complete and garage area is measured.,0,,RL>NridgHt,15109.0,272884.0,2024-01
10,2254.0,9301.0,1978,2,751.0,1469.0,RM,NridgHt,282737.0,209.4035,4474.0,415.6482,zoning verification is complete and neighborhood information is confirmed.,0,,RM>NridgHt,9301.0,254463.0,2024-01
11,1304.0,4717.0,1924,8,481.0,1356.0,RL,CollgCr,216311.0,121.1456,3141.0,291.8084,property inspection is complete and garage area is measured.,1,verified,RL>CollgCr,4717.0,194680.0,2024-01
12,1661.0,8813.0,1924,8,377.0,604.0,FV,Edwards,247156.0,154.3119,2642.0,245.4498,zoning verification is complete and neighborhood information is confirmed.,1,verified,FV>Edwards,8813.0,222440.0,2024-01
13,975.0,9641.0,1938,2,107.0,652.0,FV,Edwards,153765.0,90.5805,1734.0,161.0939,lot area verification is complete because documents are available.,0,,FV>Edwards,9641.0,138388.0,2024-01
14,1711.0,8875.0,1997,4,0.0,613.0,RM,CollgCr,212940.0,158.9571,2324.0,215.9067,property inspection is complete and garage area is measured.,0,,RM>CollgCr,824.51,191646.0,2024-01
15,1750.0,13004.0,1998,7,720.0,1799.0,RM,OldTown,265895.0,162.5803,4269.0,396.6031,zoning verification is complete and neighborhood information is confirmed.,0,,RM>OldTown,13004.0,239306.0,2024-01
16,1245.0,16742.0,1972,9,620.0,1867.0,RL,NAmes,251280.0,115.6643,3732.0,346.7141,property inspection is complete and garage area is measured.,1,verified,RL>NAmes,16742.0,226152.0,2024-01
17,1536.0,2956.0,2003,4,7.0,722.0,RH,Somerst,193381.0,142.6991,2265.0,210.4254,sale condition was reviewed and valuation status is approved.,0,,RH>Somerst,2956.0,174043.0,2024-01
18,1575.0,7420.0,1911,8,347.0,1325.0,RM,Edwards,258445.0,146.3223,3247.0,301.6562,lot area verification is complete because documents are available.,1,verified,RM>Edwards,7420.0,232600.0,2024-01
19,2063.0,12390.0,1979,3,105.0,1114.0,FV,OldTown,250976.0,191.659,3282.0,304.9078,zoning verification is complete and neighborhood information is confirmed.,0,,FV>OldTown,12390.0,225878.0,2024-01
20,1727.0,6524.0,1995,9,557.0,1186.0,FV,Somerst,264294.0,160.4436,3470.0,322.3735,lot area verification is complete because documents are available.,1,verified,FV>Somerst,6524.0,237865.0,2024-01
21,1926.0,14680.0,1994,2,539.0,1443.0,RM,OldTown,240373.0,178.9313,3908.0,363.0651,property inspection is complete and garage area is measured.,0,,RM>OldTown,14680.0,216336.0,2024-01
22,1713.0,6819.0,1977,7,602.0,1011.0,RL,OldTown,261205.0,159.1429,3326.0,308.9955,lot area verification is complete because documents are available.,0,,RL>OldTown,6819.0,235084.0,2024-01
23,1361.0,11718.0,1970,4,569.0,412.0,RL,Somerst,225952.0,126.441,2342.0,217.5789,zoning verification is complete and neighborhood information is confirmed.,0,,RL>Somerst,11718.0,203357.0,2024-01
