sale_record_id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,split,extract_batch_id
1,2014-05-02,437500.0,3.0,2.25,1970.0,35100.0,2.0,0.0,0.0,4.0,9.0,1970.0,0.0,1977.0,0.0,98027,47.4635,-121.991,,35100.0,train,kc_capstone_batch_2026_03
2,2014-05-02,790000.0,3.0,2.5,2600.0,4750.0,1.0,0.0,0.0,4.0,9.0,1700.0,900.0,1951.0,0.0,98117,47.6833,-122.4,2380.0,4750.0,train,kc_capstone_batch_2026_03
3,2014-05-02,675000.0,5.0,2.5,2820.0,67518.0,2.0,0.0,0.0,3.0,8.0,2820.0,0.0,1979.0,0.0,98029,47.5794,-122.025,2820.0,48351.0,train,kc_capstone_batch_2026_03
4,2014-05-02,555000.0,4.0,2.5,3310.0,6500.0,2.0,0.0,0.0,3.0,8.0,3310.0,0.0,2012.0,0.0,98065,47.515,-121.87,2380.0,5000.0,train,kc_capstone_batch_2026_03
5,2014-05-02,440000.0,4.0,2.25,2160.0,8119.0,1.0,0.0,0.0,3.0,8.0,1080.0,1080.0,1966.0,0.0,98006,47.5443,-122.177,1850.0,9000.0,train,kc_capstone_batch_2026_03
6,2014-05-02,295000.0,2.0,2.5,1630.0,1368.0,2.0,0.0,0.0,3.0,7.0,1280.0,350.0,2009.0,0.0,98106,47.5489,-122.363,1590.0,2306.0,train,kc_capstone_batch_2026_03
7,2014-05-02,470000.0,5.0,2.5,2210.0,9655.0,1.0,0.0,0.0,3.0,8.0,1460.0,750.0,1976.0,0.0,98011,47.7698,-122.22200000000001,2080.0,8633.0,train,kc_capstone_batch_2026_03
8,2014-05-02,550000.0,4.0,2.5,1940.0,10500.0,1.0,0.0,0.0,4.0,7.0,1140.0,800.0,1976.0,0.0,98052,47.683,-122.11399999999999,2200.0,10500.0,train,kc_capstone_batch_2026_03
9,2014-05-02,313000.0,3.0,1.5,1340.0,7912.0,1.5,0.0,0.0,3.0,7.0,1340.0,0.0,1955.0,0.0,98133,47.7658,-122.339,1480.0,7940.0,train,kc_capstone_batch_2026_03
10,2014-05-02,626000.0,3.0,2.25,1750.0,1572.0,2.5,0.0,0.0,3.0,9.0,1470.0,280.0,2005.0,0.0,98102,47.6498,-122.321,2410.0,3050.0,train,kc_capstone_batch_2026_03
11,2014-05-02,285000.0,4.0,,2200.0,9397.0,2.0,0.0,0.0,3.0,8.0,2200.0,0.0,1987.0,0.0,98001,47.3406,-122.26899999999999,2310.0,9176.0,train,kc_capstone_batch_2026_03
12,2014-05-02,612500.0,4.0,2.5,2730.0,12261.0,2.0,0.0,0.0,3.0,9.0,2730.0,0.0,1991.0,0.0,98011,47.7419,-122.205,2730.0,10872.0,train,kc_capstone_batch_2026_03
13,2014-05-02,400000.0,4.0,2.5,3630.0,42884.0,1.5,0.0,0.0,3.0,9.0,2300.0,1330.0,1979.0,0.0,98092,47.2617,-122.19,,80148.0,train,kc_capstone_batch_2026_03
14,2014-05-02,495000.0,4.0,1.75,1600.0,6380.0,1.0,0.0,0.0,3.0,8.0,1130.0,470.0,1959.0,0.0,98125,47.701,-122.306,1090.0,6380.0,train,kc_capstone_batch_2026_03
15,2014-05-02,407500.0,3.0,2.5,1930.0,10460.0,2.0,0.0,0.0,3.0,8.0,1930.0,0.0,1996.0,0.0,98059,47.4938,-122.161,2290.0,8228.0,train,kc_capstone_batch_2026_03
16,2014-05-02,385000.0,3.0,3.25,1320.0,1327.0,2.0,0.0,0.0,3.0,8.0,1040.0,280.0,2008.0,0.0,98199,47.6506,-122.383,1440.0,1263.0,train,kc_capstone_batch_2026_03
17,2014-05-02,490000.0,2.0,1.0,880.0,6380.0,1.0,0.0,0.0,3.0,7.0,880.0,0.0,1938.0,1994.0,98115,47.6924,-122.322,1340.0,6380.0,train,kc_capstone_batch_2026_03
18,2014-05-02,445700.0,3.0,2.5,1270.0,1180.0,3.0,0.0,0.0,3.0,8.0,1270.0,0.0,2001.0,0.0,98107,47.6697,-122.39200000000001,1320.0,1180.0,train,kc_capstone_batch_2026_03
19,2014-05-02,335000.0,3.0,2.25,1580.0,16215.0,1.0,0.0,0.0,4.0,7.0,1580.0,0.0,1978.0,0.0,98024,47.5643,-121.897,1450.0,16215.0,train,kc_capstone_batch_2026_03
20,2014-05-02,625000.0,4.0,2.5,2820.0,8408.0,2.0,0.0,0.0,3.0,9.0,2820.0,0.0,2014.0,0.0,98155,47.7538,-122.325,1300.0,8408.0,train,kc_capstone_batch_2026_03
21,2014-05-02,650000.0,4.0,2.0,1820.0,5000.0,1.5,0.0,1.0,3.0,7.0,1640.0,180.0,1945.0,0.0,98115,47.6815,-122.26899999999999,2060.0,5000.0,train,kc_capstone_batch_2026_03
22,2014-05-02,463000.0,-1.0,,1710.0,7320.0,1.0,0.0,0.0,3.0,7.0,1710.0,0.0,1948.0,0.0,98155,47.7512,-122.281,2260.0,8839.0,train,kc_capstone_batch_2026_03
23,2014-05-02,640000.0,4.0,2.0,1520.0,6200.0,1.5,0.0,0.0,3.0,7.0,1520.0,0.0,1945.0,0.0,98115,47.678000000000004,-122.26899999999999,1910.0,6200.0,train,kc_capstone_batch_2026_03
24,2014-05-02,499950.0,4.0,2.5,2860.0,3345.0,2.0,0.0,0.0,3.0,8.0,2190.0,670.0,2004.0,0.0,98072,47.7735,-122.15799999999999,2860.0,3596.0,train,kc_capstone_batch_2026_03
25,2014-05-02,300000.0,3.0,2.5,2540.0,5050.0,2.0,0.0,0.0,3.0,7.0,2540.0,0.0,2006.0,0.0,98042,47.3358,-122.055,2280.0,5050.0,train,kc_capstone_batch_2026_03
26,2014-05-02,435000.0,4.0,,1450.0,8800.0,1.0,0.0,0.0,4.0,7.0,1450.0,0.0,1954.0,0.0,98006,47.5746,-122.135,1260.0,8942.0,train,kc_capstone_batch_2026_03
27,2014-05-02,750000.0,3.0,2.5,2390.0,6550.0,1.0,0.0,2.0,4.0,8.0,1440.0,950.0,1955.0,0.0,98116,47.5714,-122.40799999999999,2010.0,6550.0,train,kc_capstone_batch_2026_03
28,2014-05-02,235000.0,2.0,1.0,1210.0,9400.0,1.0,0.0,0.0,2.0,6.0,1210.0,0.0,1949.0,0.0,98106,47.5342,-122.36,1580.0,6026.0,train,kc_capstone_batch_2026_03
29,2014-05-02,382500.0,4.0,1.75,1560.0,8700.0,1.0,0.0,0.0,4.0,7.0,1560.0,0.0,1967.0,0.0,98034,47.7274,-122.181,2080.0,8000.0,train,kc_capstone_batch_2026_03
30,2014-05-02,625000.0,4.0,3.25,2730.0,54014.0,1.0,0.0,0.0,3.0,9.0,1560.0,1170.0,2007.0,0.0,98059,47.5133,-122.11,2730.0,111274.0,train,kc_capstone_batch_2026_03
31,2014-05-02,2384000.0,5.0,2.5,3650.0,9050.0,2.0,0.0,4.0,5.0,10.0,3370.0,280.0,1921.0,0.0,98119,47.6345,-122.367,2880.0,5400.0,train,kc_capstone_batch_2026_03
32,2014-05-02,315000.0,3.0,1.0,1160.0,9180.0,1.0,0.0,0.0,3.0,7.0,1160.0,0.0,1968.0,0.0,98077,47.7427,-122.072,,10282.0,train,kc_capstone_batch_2026_03
33,2014-05-02,459990.0,3.0,2.5,2680.0,5539.0,2.0,0.0,0.0,3.0,8.0,2680.0,0.0,2013.0,0.0,98045,47.4761,-121.734,2990.0,6037.0,train,kc_capstone_batch_2026_03
34,2014-05-02,342000.0,3.0,2.0,1930.0,11947.0,1.0,0.0,0.0,4.0,8.0,1930.0,0.0,1966.0,0.0,98042,47.3672,-122.15100000000001,2200.0,12825.0,train,kc_capstone_batch_2026_03
35,2014-05-02,242500.0,3.0,,1200.0,9720.0,1.0,0.0,0.0,4.0,7.0,1200.0,0.0,1965.0,0.0,98042,47.4225,-122.15299999999999,1380.0,10284.0,train,kc_capstone_batch_2026_03
36,2014-05-02,1200000.0,5.0,2.75,2910.0,9480.0,1.5,0.0,0.0,3.0,8.0,2910.0,0.0,1939.0,0.0,98105,47.6552,-122.27799999999999,2940.0,6600.0,train,kc_capstone_batch_2026_03
37,2014-05-02,419000.0,3.0,1.5,1570.0,6700.0,1.0,0.0,0.0,4.0,7.0,1570.0,0.0,1956.0,0.0,98007,47.6022,-122.134,1570.0,7300.0,train,kc_capstone_batch_2026_03
38,2014-05-02,365000.0,3.0,1.0,1090.0,6435.0,1.0,0.0,0.0,4.0,7.0,1090.0,0.0,1955.0,0.0,98106,47.5334,-122.365,1340.0,6435.0,train,kc_capstone_batch_2026_03
39,2014-05-02,588500.0,3.0,1.75,2330.0,14892.0,1.0,0.0,0.0,3.0,8.0,1970.0,360.0,1980.0,0.0,98074,47.6267,-122.046,2570.0,14217.0,train,kc_capstone_batch_2026_03
40,2014-05-02,403000.0,3.0,2.0,1960.0,13100.0,1.0,0.0,2.0,5.0,8.0,1650.0,310.0,1957.0,0.0,98166,47.4419,-122.34,1960.0,10518.0,train,kc_capstone_batch_2026_03
41,2014-05-02,420000.0,3.0,2.25,2000.0,8030.0,1.0,0.0,0.0,4.0,8.0,1000.0,1000.0,1963.0,0.0,98008,47.6188,-122.11399999999999,2070.0,8250.0,train,kc_capstone_batch_2026_03
42,2014-05-02,439950.0,3.0,2.5,1770.0,2875.0,2.0,0.0,0.0,3.0,8.0,1770.0,0.0,1990.0,0.0,98116,47.5631,-122.397,1770.0,3833.0,train,kc_capstone_batch_2026_03
43,2014-05-02,750000.0,3.0,1.75,2240.0,10578.0,2.0,0.0,0.0,5.0,8.0,1550.0,690.0,1923.0,0.0,98115,47.6954,-122.292,1570.0,10578.0,train,kc_capstone_batch_2026_03
44,2014-05-02,308500.0,2.0,1.0,850.0,6174.0,1.0,0.0,0.0,4.0,7.0,850.0,0.0,1950.0,0.0,98155,47.7352,-122.32799999999999,1100.0,6174.0,train,kc_capstone_batch_2026_03
45,2014-05-02,452500.0,3.0,2.5,2430.0,88426.0,1.0,0.0,0.0,4.0,7.0,1570.0,860.0,1985.0,0.0,98045,47.4828,-121.71799999999999,1560.0,56827.0,train,kc_capstone_batch_2026_03
46,2014-05-02,491500.0,4.0,1.75,2190.0,125452.0,1.0,0.0,2.0,3.0,9.0,2190.0,0.0,1968.0,0.0,98092,47.2703,-122.069,3000.0,125017.0,train,kc_capstone_batch_2026_03
47,2014-05-02,257950.0,3.0,1.75,1370.0,5858.0,1.0,0.0,0.0,3.0,7.0,1370.0,0.0,1987.0,0.0,98198,47.3815,-122.31299999999999,1400.0,7500.0,train,kc_capstone_batch_2026_03
48,2014-05-02,285000.0,3.0,2.5,2090.0,10834.0,1.0,0.0,0.0,4.0,8.0,1360.0,730.0,1987.0,0.0,98003,47.3537,-122.303,1750.0,8595.0,train,kc_capstone_batch_2026_03
49,2014-05-02,440000.0,2.0,,800.0,4850.0,1.0,0.0,0.0,4.0,7.0,800.0,0.0,1944.0,0.0,98107,47.6639,-122.36399999999999,1150.0,4365.0,train,kc_capstone_batch_2026_03
50,2014-05-02,284000.0,3.0,1.75,1800.0,23103.0,1.0,0.0,0.0,3.0,7.0,1800.0,0.0,1968.0,0.0,98014,47.6517,-121.906,1410.0,18163.0,train,kc_capstone_batch_2026_03
51,2014-05-02,785000.0,5.0,3.25,3660.0,11995.0,2.0,0.0,2.0,3.0,10.0,3660.0,0.0,2006.0,0.0,98065,47.5337,-121.86,3320.0,11241.0,train,kc_capstone_batch_2026_03
52,2014-05-02,615000.0,3.0,1.75,2360.0,7291.0,1.0,0.0,0.0,4.0,8.0,1360.0,1000.0,1948.0,0.0,98136,47.5274,-122.384,1860.0,5499.0,train,kc_capstone_batch_2026_03
53,2014-05-02,275000.0,3.0,1.5,1180.0,10277.0,1.0,0.0,0.0,3.0,6.0,1180.0,0.0,1983.0,0.0,98045,47.488,-121.787,1680.0,11104.0,train,kc_capstone_batch_2026_03
