store_id,date,inventory_units,promotion_discount_pct,store_traffic_index,sales,demand_pressure_index,inventory_after_restock,full_price_pct,ops_shift_note,macro_cost_index,legacy_channel_share,store_type,manual_override_flag,workflow_route_code
1,2023-01-01,439,1.84,1.0117,301.0,1.006,338.0,98.16,shift handover is complete and stock information is consistent.,100.0,74.0,,0,AUTO_PASS
2,2023-01-01,648,13.04,1.0153,303.0,1.0087,451.0,86.96000000000001,inventory update is complete and promotion status is approved.,100.06,73.97,,0,AUTO_PASS
3,2023-01-01,620,14.21,1.0026,241.0,1.0253,564.0,85.78999999999999,inventory update is complete and promotion status is approved.,100.12,73.94,,0,AUTO_PASS
4,2023-01-01,374,1.91,0.9662,209.0,0.9979,628.0,98.09,pricing verification was completed because store traffic is stable.,100.18,73.91,,0,AUTO_PASS
5,2023-01-01,496,17.13,0.9203,210.0,0.9998,523.0,82.87,pricing verification was completed because store traffic is stable.,100.24,73.88,,0,AUTO_PASS
6,2023-01-01,416,12.53,1.0556,253.0,0.9872,320.0,87.47,shift handover is complete and stock information is consistent.,100.3,73.85,,0,AUTO_PASS
7,2023-01-01,505,2.04,0.9479,188.0,0.9824,441.0,97.96,shift handover is complete and stock information is consistent.,100.36,73.82,,0,AUTO_PASS
8,2023-01-01,478,22.98,0.9509,180.0,1.0168,380.0,77.02,pricing verification was completed because store traffic is stable.,100.42,73.79,,0,AUTO_PASS
9,2023-01-01,551,4.51,0.9905,256.0,1.004,597.0,95.49,shift handover is complete and stock information is consistent.,100.48,73.76,,0,AUTO_PASS
10,2023-01-01,414,146.83,1.1447,279.0,0.9775,328.0,-46.83000000000001,inventory update is complete and promotion status is approved.,100.54,73.73,,0,AUTO_PASS
11,2023-01-01,444,2.6,1.1357,185.0,1.0119,634.0,97.4,inventory update is complete and promotion status is approved.,100.6,73.7,,0,AUTO_PASS
12,2023-01-01,540,44.59,0.7557,302.0,1.0139,470.0,55.41,inventory update is complete and promotion status is approved.,100.66,73.67,,0,AUTO_PASS
13,2023-01-01,491,9.44,1.0087,272.0,0.9992,501.0,90.56,shift handover is complete and stock information is consistent.,100.72,73.64,,0,AUTO_PASS
14,2023-01-01,619,25.79,1.0279,324.0,1.0092,558.0,74.21000000000001,shift handover is complete and stock information is consistent.,100.78,73.61,,0,AUTO_PASS
15,2023-01-01,533,7.25,1.0236,192.0,0.9729,478.0,92.75,manual check is complete and discount application is confirmed.,100.84,73.58,,0,AUTO_PASS
16,2023-01-01,591,23.79,1.0616,222.0,0.9952,541.0,76.21000000000001,inventory update is complete and promotion status is approved.,100.9,73.55,,0,AUTO_PASS
17,2023-01-01,550,17.58,1.0351,225.0,0.9821,548.0,82.42,inventory update is complete and promotion status is approved.,100.96,73.52,,0,AUTO_PASS
18,2023-01-01,574,15.59,0.7971,266.0,0.9768,600.0,84.41,manual check is complete and discount application is confirmed.,101.02,73.49,,0,AUTO_PASS
19,2023-01-01,349,30.21,0.9905,431.0,1.0004,502.0,69.78999999999999,inventory update is complete and promotion status is approved.,101.08,73.46,,1,MANUAL_REVIEW
20,2023-01-01,678,16.66,0.8888,224.0,1.0207,569.0,83.34,inventory update is complete and promotion status is approved.,101.14,73.43,,0,AUTO_PASS
21,2023-01-01,591,20.67,0.9721,182.0,0.9961,459.0,79.33,manual check is complete and discount application is confirmed.,101.2,73.4,,0,AUTO_PASS
22,2023-01-01,398,4.89,1.0266,288.0,0.9934,424.0,95.11,inventory update is complete and promotion status is approved.,101.26,73.37,,0,AUTO_PASS
23,2023-01-01,515,51.13,1.0753,185.0,0.9955,700.0,48.87,manual check is complete and discount application is confirmed.,101.32,73.34,,0,AUTO_PASS
24,2023-01-01,585,13.82,1.108,295.0,1.0199,554.0,86.18,inventory update is complete and promotion status is approved.,101.38,73.31,,0,AUTO_PASS
25,2023-01-01,703,9.54,0.8463,238.0,1.0087,482.0,90.46000000000001,pricing verification was completed because store traffic is stable.,101.44,73.28,,0,AUTO_PASS
26,2023-01-01,365,0.39,0.8902,188.0,1.0316,507.0,99.61,shift handover is complete and stock information is consistent.,101.5,73.25,,0,AUTO_PASS
27,2023-01-01,388,15.15,0.9466,332.0,0.9572,482.0,84.85,manual check is complete and discount application is confirmed.,101.56,73.22,,0,AUTO_PASS
28,2023-01-01,257,,0.7482,139.0,0.9942,371.0,,pricing verification was completed because store traffic is stable.,101.62,73.19,,0,AUTO_PASS
29,2023-01-01,429,0.9,1.1826,254.0,0.9911,571.0,99.1,pricing verification was completed because store traffic is stable.,101.68,73.16,,0,AUTO_PASS
30,2023-01-01,540,23.39,1.1149,367.0,1.003,443.0,76.61,inventory update is complete and promotion status is approved.,101.74,73.13,,0,AUTO_PASS
31,2023-01-01,528,15.12,1.0345,115.0,0.977,537.0,84.88,inventory update is complete and promotion status is approved.,101.8,73.1,,0,AUTO_PASS
32,2023-01-01,446,20.52,0.8376,353.0,0.9809,599.0,79.48,manual check is complete and discount application is confirmed.,101.86,73.07,,0,AUTO_PASS
33,2023-01-01,420,9.82,0.7673,138.0,0.9979,438.0,90.18,shift handover is complete and stock information is consistent.,101.92,73.04,,0,AUTO_PASS
34,2023-01-01,347,29.33,1.135,253.0,1.0004,455.0,70.67,inventory update is complete and promotion status is approved.,101.98,73.01,,0,AUTO_PASS
35,2023-01-01,378,12.93,0.9496,297.0,0.9889,443.0,87.07,manual check are complete and discount application is confirmed.,102.04,72.98,,0,AUTO_PASS
36,2023-01-01,429,2.57,0.9145,177.0,1.0113,454.0,97.43,manual check is complete and discount application is confirmed.,102.1,72.95,,0,AUTO_PASS
37,2023-01-01,574,6.32,0.9009,333.0,0.9936,282.0,93.68,inventory update is complete and promotion status is approved.,102.16,72.92,,0,AUTO_PASS
38,2023-01-01,541,15.99,0.9968,202.0,1.0032,495.0,84.01,pricing verification was completed because store traffic is stable.,102.22,72.89,,0,AUTO_PASS
39,2023-01-01,397,2.89,1.0,202.0,0.9978,522.0,97.11,inventory update is complete and promotion status is approved.,102.28,72.86,,0,AUTO_PASS
40,2023-01-01,466,16.34,0.9792,245.0,1.0377,616.0,83.66,manual check is complete and discount application is confirmed.,102.34,72.83,,0,AUTO_PASS
41,2023-01-01,361,,0.9626,325.0,0.9783,343.0,,manual check is complete and discount application is confirmed.,102.4,72.8,,0,AUTO_PASS
42,2023-01-01,502,12.59,0.9478,221.0,1.0057,593.0,87.41,inventory update is complete and promotion status is approved.,102.46,72.77,,0,AUTO_PASS
43,2023-01-01,511,10.46,1.0697,316.0,0.9978,497.0,89.53999999999999,manual check is complete and discount application is confirmed.,102.52,72.74,,0,AUTO_PASS
44,2023-01-01,-306,,0.8263,288.0,1.0084,456.0,,shift handover is complete and stock information is consistent.,102.58,72.71,,0,AUTO_PASS
45,2023-01-01,440,15.4,1.1718,316.0,1.0049,463.0,84.6,shift handover is complete and stock information is consistent.,102.64,72.68,,0,AUTO_PASS
46,2023-01-01,700,14.6,1.0233,280.0,1.0203,436.0,85.4,pricing verification was completed becuase store traffic is stable.,102.7,72.65,,0,AUTO_PASS
47,2023-01-01,402,17.91,0.9999,188.0,1.008,510.0,82.09,inventory update is complete and promotion status is approved.,102.76,72.62,,0,AUTO_PASS
48,2023-01-01,547,12.02,0.9773,264.0,1.0246,509.0,87.98,inventory update is complete and promotion status is approved.,102.82,72.59,,0,AUTO_PASS
49,2023-01-01,408,13.3,0.9167,297.0,1.0068,342.0,86.7,pricing verification was completed because store traffic is stable.,102.88,72.56,,0,AUTO_PASS
50,2023-01-01,336,7.3,0.9381,199.0,0.9675,391.0,92.7,manual check is complete and discount application is confirmed.,102.94,72.53,,0,AUTO_PASS
51,2023-01-01,420,17.66,0.8955,293.0,1.0233,394.0,82.34,shift handover is complete and stock information is consistent.,103.0,72.5,,0,AUTO_PASS
52,2023-01-01,359,,0.9996,291.0,0.9994,364.0,,manual check are complete and discount application is confirmed.,103.06,72.47,,0,AUTO_PASS
53,2023-01-01,601,13.97,1.0696,367.0,0.9452,552.0,86.03,pricing verification was completed because store traffic is stable.,103.12,72.44,,0,AUTO_PASS
